news_article_id,ticker_id,ticker,name,title,news_article_url,markdown_url,reporting_company
32,3,ZVTC,"Zava Technologies","Semiconductor Sector Struggles",data/news_articles/ZVTC/A_Slide_in_Zava_Technologies_Shares_Highlights_Semiconductor_Sector_Struggles.pdf,data/news_articles/ZVTC/A_Slide_in_Zava_Technologies_Shares_Highlights_Semiconductor_Sector_Struggles.md,GWN
33,3,ZVTC,"Zava Technologies","Chip Sector Blues",data/news_articles/ZVTC/Chip_Sector_Blues_Strain_Semiconductor_Suppliers_Knock_Zava_Technologies_Shares.pdf,data/news_articles/ZVTC/Chip_Sector_Blues_Strain_Semiconductor_Suppliers_Knock_Zava_Technologies_Shares.md,FTI
34,3,ZVTC,"Zava Technologies","Shares Drop on Weak Usage",data/news_articles/ZVTC/Zava_Technologies_Shares_Drop_as_Semiconductor_Materials_Usage_Weakens.pdf,data/news_articles/ZVTC/Zava_Technologies_Shares_Drop_as_Semiconductor_Materials_Usage_Weakens.md,FBA
35,3,ZVTC,"Zava Technologies","Stock Falls on Declining Consumption",data/news_articles/ZVTC/Zava_Technologies_Stock_Falls_as_Materials_Consumption_Declines.pdf,data/news_articles/ZVTC/Zava_Technologies_Stock_Falls_as_Materials_Consumption_Declines.md,CDG
36,3,ZVTC,"Zava Technologies","Slowing Demand Pressures Suppliers",data/news_articles/ZVTC/Semiconductor_Manufacturers_Face_Slowing_Demand_Pressuring_Suppliers.pdf,data/news_articles/ZVTC/Semiconductor_Manufacturers_Face_Slowing_Demand_Pressuring_Suppliers.md,ITD
37,3,ZVTC,"Zava Technologies","Supplier Shares Slide",data/news_articles/ZVTC/Semiconductor_Materials_Supplier_Zava_Technologies_Shares_Slide.pdf,data/news_articles/ZVTC/Semiconductor_Materials_Supplier_Zava_Technologies_Shares_Slide.md,GWN
38,3,ZVTC,"Zava Technologies","Sector Slowdown Hits Shares",data/news_articles/ZVTC/Semiconductor_Sector_Slowdown_Sends_Zava_Technologies_Shares_Lower.pdf,data/news_articles/ZVTC/Semiconductor_Sector_Slowdown_Sends_Zava_Technologies_Shares_Lower.md,FTI
39,3,ZVTC,"Zava Technologies","Semiconductor Weakness Weighs",data/news_articles/ZVTC/Semiconductor_Weakness_Weighs_on_Zava_Technologies_Stock.pdf,data/news_articles/ZVTC/Semiconductor_Weakness_Weighs_on_Zava_Technologies_Stock.md,FBA
40,3,ZVTC,"Zava Technologies","Materials Usage Decline Impact",data/news_articles/ZVTC/What_the_Decline_in_Materials_Usage_Means_for_the_Sector.pdf,data/news_articles/ZVTC/What_the_Decline_in_Materials_Usage_Means_for_the_Sector.md,CDG
41,3,ZVTC,"Zava Technologies","Stock Takes a Hit",data/news_articles/ZVTC/Why_Zava_Technologies_Stock_Just_Took_a_Hit.pdf,data/news_articles/ZVTC/Why_Zava_Technologies_Stock_Just_Took_a_Hit.md,ITD
42,4,NFEQ,"NanoFab Equipment","Choppy Waters Amid Chip Weakness",data/news_articles/NFEQ/NanoFab_Equipment_Faces_Choppy_Waters_Amid_Memory_Chip_Weakness.pdf,data/news_articles/NFEQ/NanoFab_Equipment_Faces_Choppy_Waters_Amid_Memory_Chip_Weakness.md,GWN
43,4,NFEQ,"NanoFab Equipment","Shares Decline as Market Cools",data/news_articles/NFEQ/NanoFab_Equipment_Shares_Decline_as_Memory_Chip_Market_Shows_Signs_of_Cooling.pdf,data/news_articles/NFEQ/NanoFab_Equipment_Shares_Decline_as_Memory_Chip_Market_Shows_Signs_of_Cooling.md,FTI
44,4,NFEQ,"NanoFab Equipment","Shares Slide on Chip Demand Pressure",data/news_articles/NFEQ/NanoFab_Equipment_Shares_Slide_as_Memory_Chip_Demand_Pressures_Semiconductor_Sector.pdf,data/news_articles/NFEQ/NanoFab_Equipment_Shares_Slide_as_Memory_Chip_Demand_Pressures_Semiconductor_Sector.md,FBA
45,4,NFEQ,"NanoFab Equipment","Stock Drop Highlights Volatile Market",data/news_articles/NFEQ/NanoFab_Equipment_Stock_Drop_Highlights_Volatile_Memory_Chip_Market.pdf,data/news_articles/NFEQ/NanoFab_Equipment_Stock_Drop_Highlights_Volatile_Memory_Chip_Market.md,CDG
46,4,NFEQ,"NanoFab Equipment","Stock Drop Signals Wider Worries",data/news_articles/NFEQ/NanoFab_Equipment_Stock_Drop_Signals_Wider_Semiconductor_Worries.pdf,data/news_articles/NFEQ/NanoFab_Equipment_Stock_Drop_Signals_Wider_Semiconductor_Worries.md,ITD
47,4,NFEQ,"NanoFab Equipment","Stock Falls on Weak Demand",data/news_articles/NFEQ/NanoFab_Equipment_Stock_Falls_Amid_Weakening_Demand_for_Memory_Chips.pdf,data/news_articles/NFEQ/NanoFab_Equipment_Stock_Falls_Amid_Weakening_Demand_for_Memory_Chips.md,GWN
48,4,NFEQ,"NanoFab Equipment","Why Stock Dropped Last Month",data/news_articles/NFEQ/Heres_Why_NanoFab_Equipment_Stock_Dropped_Last_Month.pdf,data/news_articles/NFEQ/Heres_Why_NanoFab_Equipment_Stock_Dropped_Last_Month.md,FTI
49,4,NFEQ,"NanoFab Equipment","Passing Chill or Deeper Freeze",data/news_articles/NFEQ/Is_the_Semiconductor_Slowdown_a_Passing_Chill_or_a_Deeper_Freeze_for_NanoFab_Equipment.pdf,data/news_articles/NFEQ/Is_the_Semiconductor_Slowdown_a_Passing_Chill_or_a_Deeper_Freeze_for_NanoFab_Equipment.md,FBA
50,4,NFEQ,"NanoFab Equipment","Equipment Maker Drops on Cooling Market",data/news_articles/NFEQ/Semiconductor_Equipment_Maker_NanoFab_Equipment_Drops_on_Cooling_Memory_Market.pdf,data/news_articles/NFEQ/Semiconductor_Equipment_Maker_NanoFab_Equipment_Drops_on_Cooling_Memory_Market.md,CDG
51,4,NFEQ,"NanoFab Equipment","Weak Demand Sends Stock Lower",data/news_articles/NFEQ/Weak_Memory_Chip_Demand_Sends_NanoFab_Equipment_Stock_Lower.pdf,data/news_articles/NFEQ/Weak_Memory_Chip_Demand_Sends_NanoFab_Equipment_Stock_Lower.md,ITD
52,6,CCMP,"Contose Compute","Chip Demand Fuels Meteoric Rise",data/news_articles/CCMP/Chip_Demand_Fuels_Contoso_Compute_Meteoric_Rise_Amid_AI_Transition.pdf,data/news_articles/CCMP/Chip_Demand_Fuels_Contoso_Compute_Meteoric_Rise_Amid_AI_Transition.md,GWN
53,6,CCMP,"Contose Compute","AI Surge Redefines Tech Landscape",data/news_articles/CCMP/Contoso_Compute_AI_Surge_How_the_Technology_Solutions_Firm_is_Redefining_the_Tech_Landscape.pdf,data/news_articles/CCMP/Contoso_Compute_AI_Surge_How_the_Technology_Solutions_Firm_is_Redefining_the_Tech_Landscape.md,FTI
54,6,CCMP,"Contose Compute","Record Revenue Q3 Fiscal",data/news_articles/CCMP/Contoso_Compute_Corp_Reports_Record_Revenue_and_Earnings_in_Q3_Fiscal.pdf,data/news_articles/CCMP/Contoso_Compute_Corp_Reports_Record_Revenue_and_Earnings_in_Q3_Fiscal.md,FBA
55,6,CCMP,"Contose Compute","Data Center Powers AI Growth",data/news_articles/CCMP/Contoso_Compute_Data_Center_Revenue_Powers_Unprecedented_Growth_in_Generative_AI_Surge.pdf,data/news_articles/CCMP/Contoso_Compute_Data_Center_Revenue_Powers_Unprecedented_Growth_in_Generative_AI_Surge.md,CDG
56,6,CCMP,"Contose Compute","Earnings Highlight AI Momentum",data/news_articles/CCMP/Contoso_Compute_Earnings_Highlight_AIs_Explosive_Growth_But_Can_the_Momentum_Hold.pdf,data/news_articles/CCMP/Contoso_Compute_Earnings_Highlight_AIs_Explosive_Growth_But_Can_the_Momentum_Hold.md,ITD
57,6,CCMP,"Contose Compute","Era of AI Chips and Demand",data/news_articles/CCMP/Contoso_Compute_Earnings_The_Era_of_AI_Chips_And_Generative_AI_Demand.pdf,data/news_articles/CCMP/Contoso_Compute_Earnings_The_Era_of_AI_Chips_And_Generative_AI_Demand.md,GWN
58,6,CCMP,"Contose Compute","Generative AI Era Record Growth",data/news_articles/CCMP/Contoso_Compute_Proclaims_Generative_AI_Era_with_Record_Growth.pdf,data/news_articles/CCMP/Contoso_Compute_Proclaims_Generative_AI_Era_with_Record_Growth.md,FTI
59,6,CCMP,"Contose Compute","Revenues Soar Hyperscaler AI Rush",data/news_articles/CCMP/Contoso_Compute_revenues_soar_amid_hyperscaler_AI_rush.pdf,data/news_articles/CCMP/Contoso_Compute_revenues_soar_amid_hyperscaler_AI_rush.md,FBA
60,6,CCMP,"Contose Compute","Revenues Up Generative AI Boom",data/news_articles/CCMP/Contoso_Compute_revenues_up_from_last_year_on_generative_AI_boom.pdf,data/news_articles/CCMP/Contoso_Compute_revenues_up_from_last_year_on_generative_AI_boom.md,CDG
61,6,CCMP,"Contose Compute","Smashes Records",data/news_articles/CCMP/Contoso_Compute_Smashes_Records.pdf,data/news_articles/CCMP/Contoso_Compute_Smashes_Records.md,ITD
